0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,,20
1/1/2019,NORTE DE SANTANDER,OCAÑA,Martes,13:00:00,BARRIO LOS SAUCES,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,26,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,-,PRIMARIA,54498000,,1
1/1/2019,PUTUMAYO,SAN MIGUEL,Martes,14:00:00,SAN FELIPE,URBANA,VIAS PUBLICAS,CONTUNDENTES,A PIE,A PIE,35,MASCULINO,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,-,SECUNDARIA,86757000,,1
1/1/2019,QUINDÍO,CALARCA,Martes,12:00:00,VDA.CHAGUALA,RURAL,TRAMO DE VIA,ARMA DE FUEGO,A PIE,CONDUCTOR MOTOCICLETA,19,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,-,SECUNDARIA,63130000,,1
1/1/2019,QUINDÍO,LA TEBAIDA,Martes,21:15:00,ZONA CENTRO,URBANA,FRENTE A DISCOTECAS,ARMA DE FUEGO,CONDUCTOR MOTOCICLETA,A PIE,22,MASCULINO,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,-,SECUNDARIA,63401000,,1
1/1/2019,RISARALDA,PEREIRA (CT),Martes,7:20:00,RAFAEL URIBE I,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,38,MASCULINO,SOLTERO,COLOMBIA,COMERCIANTE,-,SECUNDARIA,66001000,,1
1/1/2019,SAN ANDRÉS,SAN ANDRÉS (CT),Martes,10:00:00,BARRIO VISTA HERMOSA,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,CONDUCTOR MOTOCICLETA,A PIE,35,MASCULINO,UNION LIBRE,COLOMBIA,INDEPENDIENTE,-,SECUNDARIA,88001000,,1
1/1/2019,SANTANDER,BUCARAMANGA (CT),Martes,20:30:00,SAN GERARDO,URBANA,FRENTE A RESIDENCIAS - VIA PUBLICA,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,39,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,-,SECUNDARIA,68001000,,1
1/1/2019,SANTANDER,BUCARAMANGA (CT),Martes,15:30:00,LA JUVENTUD,URBANA,PARQUES,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,20,MASCULINO,SOLTERO,COLOMBIA,DESEMPLEADO,-,SECUNDARIA,68001000,,1
1/1/2019,SUCRE,SAN ONOFRE,Martes,1:30:00,VEREDA PISIS,RURAL,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,29,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,-,SECUNDARIA,70713000,,1
1/1/2019,SUCRE,SAN ONOFRE,Martes,1:30:00,VEREDA PISIS,RURAL,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,33,FEMENINO,SEPARADO,COLOMBIA,INDEPENDIENTE,-,SECUNDARIA,70713000,,1
1/1/2019,TOLIMA,COYAIMA,Martes,21:40:00,VRDA. ZARAGOSA,RURAL,FINCAS Y SIMILARES,ARMA DE FUEGO,A PIE,A PIE,24,MASCULINO,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,-,SECUNDARIA,73217000,,1
1/1/2019,TOLIMA,COYAIMA,Martes,21:40:00,VRDA. ZARAGOSA,RURAL,FINCAS Y SIMILARES,ARMA DE FUEGO,A PIE,A PIE,37,MASCULINO,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,-,PRIMARIA,73217000,,1
1/1/2019,TOLIMA,COYAIMA,Martes,21:40:00,VRDA. ZARAGOSA,RURAL,FINCAS Y SIMILARES,ARMA DE FUEGO,A PIE,A PIE,62,MASCULINO,CASADO,COLOMBIA,EMPLEADO PARTICULAR,-,PRIMARIA,73217000,,1
1/1/2019,TOLIMA,IBAGUÉ (CT),Martes,14:30:00,VRDA. ALISAR SANTA RITA,RURAL,"BARES, CANTINAS Y SIMILARES",ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,21,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,-,PRIMARIA,73001000,,1
